Element# βxx' βyy' βzz' 
2.3300000e+02 2.3337500e+00 1.3621487e+00 2.2957209e+02 
2.3400000e+02 2.3498736e+00 1.3657944e+00 2.3693807e+02 
2.3500000e+02 2.3498736e+00 1.3657944e+00 2.3693807e+02 
2.3600000e+02 2.3498736e+00 1.3657944e+00 2.3693807e+02 
2.3700000e+02 2.3649219e+00 1.3695028e+00 2.4432810e+02 
2.3800000e+02 2.3649219e+00 1.3695028e+00 2.4432810e+02 
2.3900000e+02 2.3649219e+00 1.3695028e+00 2.4432810e+02 
2.4000000e+02 2.3788826e+00 1.3732744e+00 2.5174044e+02 
2.4100000e+02 2.3788826e+00 1.3732744e+00 2.5174044e+02 
2.4200000e+02 2.3788826e+00 1.3732744e+00 2.5174044e+02 
2.4300000e+02 2.3917393e+00 1.3771088e+00 2.5917347e+02 
2.4400000e+02 2.3917393e+00 1.3771088e+00 2.5917347e+02 
2.4500000e+02 2.3917393e+00 1.3771088e+00 2.5917347e+02 
2.4600000e+02 2.4034798e+00 1.3810058e+00 2.6662503e+02 
2.4700000e+02 2.4034798e+00 1.3810058e+00 2.6662503e+02 
2.4800000e+02 2.4034798e+00 1.3810058e+00 2.6662503e+02 
2.4900000e+02 2.4140927e+00 1.3849657e+00 2.7409372e+02 
2.5000000e+02 2.4140927e+00 1.3849657e+00 2.7409372e+02 
2.5100000e+02 2.4140927e+00 1.3849657e+00 2.7409372e+02 
2.5200000e+02 2.4235672e+00 1.3889882e+00 2.8157740e+02 
2.5300000e+02 2.4235672e+00 1.3889882e+00 2.8157740e+02 
2.5400000e+02 2.4235672e+00 1.3889882e+00 2.8157740e+02 
2.5500000e+02 2.4318943e+00 1.3930728e+00 2.8907448e+02 
2.5600000e+02 2.4318943e+00 1.3930728e+00 2.8907448e+02 
2.5700000e+02 2.4318943e+00 1.3930728e+00 2.8907448e+02 
2.5800000e+02 2.4390671e+00 1.3972210e+00 2.9658306e+02 
2.5900000e+02 2.4390671e+00 1.3972210e+00 2.9658306e+02 
