#ele Pos(m) X_aper(m) Y_aper(m) x(m) xp(rad) y(m) yp(rad) p(rad) W(MeV)
422 1.22 0.0118 0.05 -0.0140186 -0.011974 -0.00012923 -0.00983417 16.4857 0.18264
422 1.22 0.0118 0.05 -0.0153275 -0.0141494 -0.000325306 -0.0103652 24.6785 0.182627
422 1.22 0.0118 0.05 0.0140605 0.0159703 -0.00536641 0.00431832 -38.5822 0.182625
422 1.22 0.0118 0.05 0.0142945 0.0162535 -0.00369549 0.00516986 -39.5652 0.182625
422 1.22 0.0118 0.05 -0.0155546 -0.0153982 0.00191015 -0.00818385 31.5947 0.182626
422 1.22 0.0118 0.05 0.0126027 0.011029 -0.000675777 0.00785385 -14.9279 0.182627
422 1.22 0.0118 0.05 0.0144446 0.0133722 0.00025842 0.0100826 -21.5364 0.182631
422 1.22 0.0118 0.05 0.0121541 0.00850665 0.00289275 0.011539 -1.30759 0.182626
422 1.22 0.0118 0.05 -0.0142721 -0.0190824 0.00861809 0.00118816 59.4982 0.182646
422 1.22 0.0118 0.05 -0.0161683 -0.0208084 0.00844163 -9.61023e-005 62.7616 0.182637
422 1.22 0.0118 0.05 0.0133134 0.014363 -0.002006 0.00645343 -32.4755 0.182642
422 1.22 0.0118 0.05 0.0121264 0.0156677 -0.00518505 0.00179288 -44.9938 0.182625
422 1.22 0.0118 0.05 -0.0167326 -0.017745 0.00372238 -0.00673138 41.2971 0.182628
422 1.22 0.0118 0.05 0.0122524 0.0104049 0.00192113 0.0107927 -12.1696 0.182625
422 1.22 0.0118 0.05 -0.0129124 -0.0104571 -0.000795005 -0.00963125 11.9485 0.182625
422 1.22 0.0118 0.05 0.0147586 0.0183312 -0.00697951 0.00221141 -49.9546 0.182624
422 1.22 0.0118 0.05 -0.0129464 -0.00963283 -0.00363079 -0.0128152 6.47748 0.182624
422 1.22 0.0118 0.05 -0.0140914 -0.0118059 -0.00142217 -0.010864 15.2985 0.182627
422 1.22 0.0118 0.05 0.015081 0.0157083 -0.00220561 0.00753358 -33.3863 0.182641
422 1.22 0.0118 0.05 -0.0155764 -0.0150691 0.00122601 -0.00904437 29.1696 0.182636
422 1.22 0.0118 0.05 0.0126776 0.0111268 -0.00141144 0.0077058 -15.0986 0.182639
422 1.22 0.0118 0.05 0.0119485 0.00903457 0.00123167 0.00971848 -5.23775 0.182636
422 1.22 0.0118 0.05 0.0146162 0.0176177 -0.00641081 0.00271819 -46.67 0.182632
422 1.22 0.0118 0.05 -0.0137349 -0.0190853 0.0100367 0.00298467 62.3093 0.182627
422 1.22 0.0118 0.05 -0.0168012 -0.019008 0.00503826 -0.00486315 49.0934 0.182628
422 1.22 0.0118 0.05 0.0122509 0.0125724 -0.000740036 0.00730749 -25.6912 0.182624
422 1.22 0.0118 0.05 -0.0154523 -0.0145224 0.000432905 -0.00959192 26.4 0.182623
422 1.22 0.0118 0.05 -0.0159946 -0.0170368 0.00359141 -0.00619249 39.6629 0.182634
422 1.22 0.0118 0.05 -0.0143012 -0.0146142 0.000946273 -0.00808549 31.5735 0.18264
422 1.22 0.0118 0.05 0.0153386 0.0156615 -0.00180539 0.00832106 -31.8236 0.182633
422 1.22 0.0118 0.05 -0.0152269 -0.0146522 0.000428991 -0.00952421 28.3046 0.182624
422 1.22 0.0118 0.05 -0.0149705 -0.0138781 -0.000243097 -0.0101747 24.2472 0.182634
422 1.22 0.0118 0.05 -0.0145086 -0.0188832 0.00891566 0.000721855 57.8798 0.182624
422 1.22 0.0118 0.05 0.0121001 0.0157846 -0.00789548 0.000338972 -45.999 0.182633
422 1.22 0.0118 0.05 0.0134205 0.01502 -0.00514369 0.0042544 -35.7402 0.182631
