# X[mm] xp[rad] Y[mm] yp[rad]
4.2384351278e+00 -7.2267903829e+01 -9.1058176382e-01 1.7790065947e+01
-1.4345977471e+00 1.0601343596e+01 1.0089791927e+00 -2.0898524020e+01
-2.3494165296e+00 2.3193165716e+01 1.0892791103e+00 -3.1200595444e+01
-2.8979573048e+00 8.2381995368e+01 1.8377687415e+00 -4.4689178474e+01
2.3546199674e+00 -8.0026095573e+01 -1.8864368877e+00 7.5739121686e+01
-2.6619653129e+00 9.4001524652e+01 2.3535179540e+00 -8.8913874482e+01
2.2484693261e+00 -8.5491355682e+01 -2.0255513850e+00 8.5419362582e+01
3.3405298868e+00 -2.6038122093e+01 -3.1817370584e+00 4.9446099665e+01
2.0488860979e+00 -7.3078840456e+01 -1.8312467679e+00 7.1849700051e+01
-2.3274798687e+00 6.3097683198e+01 8.0490126204e-01 -1.9256466569e+01
8.7526694428e-01 -2.1624869731e+01 1.1166069037e+00 -1.5978725556e+01
1.8000600710e+00 -5.1790268645e+01 -6.3290119060e-01 2.7463195309e+01
-8.7135089390e-01 1.1588401778e+01 3.4138710749e-01 2.1997465774e+00
-6.0266897456e-01 -1.9733831030e+01 1.0492715788e+00 -2.3549357191e+01
8.3002752732e-01 -2.3500993304e+01 9.8635510847e-01 -1.1391138938e+01
8.0773507502e-01 -1.2439359656e+01 -8.8837066783e-01 1.6829303444e+01
-2.8245640738e+00 4.4344707783e+01 1.4493749199e+00 -6.4544287987e+01
2.9383818878e+00 -5.3656548260e+01 -3.1567098744e+00 6.6821949780e+01
-2.9093372503e+00 9.1103722210e+01 2.3120556644e+00 -6.6725744643e+01
-1.1206157243e+00 -1.2315691119e+01 4.4274580442e-01 -5.1311383505e+00
-2.8787456147e+00 5.0817580733e+01 9.2416879678e-02 -5.6307942720e+00
2.0501611541e+00 -9.6440402579e+01 -1.7752146477e+00 7.8252126229e+01
-2.8730972562e+00 1.0519452326e+02 2.3008234619e+00 -8.1509273410e+01
-1.5120800107e+00 2.3271488742e+01 -2.2515293993e+00 3.1777731785e+01
3.8004525964e+00 -5.0307347070e+01 -2.7800194098e+00 5.0403612925e+01
-2.7789938420e+00 5.0962821917e+01 1.6838981115e+00 -7.0157728629e+01
-2.3498392684e+00 6.3403062785e+01 1.5044897148e+00 -3.3931442979e+01
-1.7403583605e+00 4.7799395952e+00 7.9649036928e-01 -1.8164291016e+01
4.3632319148e+00 -5.1059495467e+01 -3.1121753656e+00 5.6152109286e+01
