# X[mm] xp[mrad] Y[mm] yp[mrad]
-7.1845397124e-01 -9.4189999293e+01 6.5512677428e-01 8.3133203507e+01
5.0583704988e-01 1.1391634157e+02 -7.1670661022e-01 -1.0633459078e+02
9.0389929364e-01 -3.3945211673e+01 7.4967317947e-02 3.2260388505e+01
-1.2789978020e+00 3.5499787695e+01 -1.5037570136e-01 -5.9452432247e+01
-1.1475799753e+00 -8.5613271341e+01 3.5929787635e-01 3.4812004436e+01
-1.2760845779e+00 -8.9749965015e+01 4.2301544656e-01 3.8285294627e+01
-1.2251630361e+00 2.8581805758e+01 -9.6907029219e-02 -5.1407356250e+01
1.0075058196e+00 -6.6672934392e+01 4.2860581495e-01 1.0339381855e+02
-4.1182411864e-02 8.3973262016e+01 -7.1522868106e-03 -1.6972725592e+01
-1.5125219012e-04 -1.0055590233e+02 1.1837698205e-01 1.7383480862e+01
-2.4563784559e-01 -5.0284828146e+01 5.3460431388e-01 3.6549759997e+01
-8.1984240310e-01 2.7972534941e+01 -1.6500929579e-02 -1.3378290175e+01
8.0997839375e-01 1.1808194971e+02 -6.4969247303e-01 -9.6974271538e+01
-8.8778033311e-01 -1.6356124300e+01 3.5688778248e-02 -3.2475012162e+01
3.6200422348e-01 -2.0896322968e+01 -2.8178855627e-01 6.2956389905e+01
5.3723731271e-01 2.1383146459e+01 -5.2319309739e-02 1.2030302247e+01
-1.3665935759e+00 -5.0812418399e+00 7.0771444350e-02 -3.3965874208e+01
-3.6586589169e-01 -8.7657255099e+00 3.8297890964e-01 -4.5117736730e+01
-7.5767574929e-02 -2.7580336950e+01 3.0415745512e-01 -2.1372738326e+01
1.0281297814e+00 4.2449574812e+01 -3.1440197503e-01 -2.0574236863e+01
-7.8026025526e-01 1.5492016865e+01 -9.5967884572e-02 -5.9149831368e+01
7.4412539430e-01 -5.1701955893e+01 1.5180761545e-01 3.4895894969e+01
-1.0290837111e+00 -1.1401697667e+01 2.3054986270e-01 2.9026834290e+00
1.1313583909e+00 -1.5766542194e+01 -1.6233586532e-02 3.5620275952e+01
-1.2277293094e+00 -3.8863011240e+01 1.5886711403e-01 -1.5270763055e+01
-2.1082077087e-01 9.9302039549e+01 -6.4102348009e-01 -1.0509421500e+02
1.9686181959e-01 1.6716826643e+01 -2.8670967535e-01 4.3744986554e+01
3.0238336610e-01 -6.0221033713e+01 -1.5892249718e-01 7.3865802798e+01
1.0370716990e-01 -7.1179991734e+01 4.0483501659e-01 3.6379055255e+01
9.2818740343e-01 1.1609736374e+02 -5.7216103986e-01 -8.7563200747e+01
-6.0302518575e-02 -3.9210573780e+01 4.2217338218e-01 2.5951994651e+00
-8.6837722801e-02 5.3202554214e+01 1.6972590887e-01 -9.7344582143e+00
-4.7752688551e-01 -7.3367017109e+01 3.1772653011e-01 5.2380256127e+01
-6.2217679292e-01 8.5739515298e+01 -5.0792661058e-01 -9.9582228144e+01
5.9413192380e-01 -7.8446123486e+01 5.1597068636e-01 8.4917817228e+01
-1.4182071875e+00 2.8584262384e+01 -1.1641945137e-01 -6.5308011796e+01
1.3104208940e+00 2.0352463471e+01 -2.2735465967e-02 4.5861853463e+01
7.7583521507e-01 1.2235260818e+02 -6.0558983965e-01 -9.7342284839e+01
-6.8958912686e-01 -9.0393221446e+01 6.2818869723e-01 8.3921334895e+01
-1.1617461846e+00 4.7647170877e+01 -2.7690169783e-01 -7.1506430452e+01
