# x[mm] y[mm]
1.1202427597e+00 -9.6585286819e+00
1.0976655979e+01 -3.0996352668e+00
-3.8521143663e+00 9.6684736657e-01
-8.5157091412e+00 1.8095313193e+00
-4.5822951891e+00 1.6235967576e+00
9.4428926176e+00 6.3666114899e+00
-6.3605625641e-01 4.6120484537e-01
2.6982520521e+00 1.3754121874e-02
-5.8445506174e+00 -3.2703621165e+00
1.0552621309e+01 -6.1031855164e+00
-9.0526514164e+00 5.9084812081e+00
7.0272601490e+00 -1.1674464527e+01
-4.1094976216e+00 1.0655458927e+01
1.0493900545e+01 5.0575206726e+00
-8.4270577970e+00 -4.1598623098e+00
7.7094680723e+00 -9.9609831465e+00
-2.1201549679e+00 -3.8343968192e+00
1.0731761718e+01 4.8001321777e+00
1.1754404322e+01 -2.6614313760e+00
-1.0073469926e+01 1.0948102157e+01
-1.6474400320e+00 -2.3194766493e+00
3.0673489851e+00 -1.2334305294e+01
-1.8081388007e+00 2.0104436763e+00
-9.3286328483e+00 9.9706507101e+00
2.1394903968e+00 -4.1987742179e+00
1.0030312311e+01 -3.6622008501e+00
-2.1100012603e+00 2.6479472427e+00
3.5338493493e+00 -6.1802335340e+00
-7.4922371336e+00 -4.0380184316e+00
-1.0557786735e+01 2.4281078334e+00
-1.0257626824e+01 -1.2845329736e+00
9.8569260948e+00 2.1850985325e+00
1.1384552449e+01 2.8603091751e-02
8.0150201489e+00 -7.3021029376e+00
4.6115480987e+00 1.7290867147e+00
6.9844482416e+00 -3.8646913218e+00
-1.0560697177e+01 4.1643043234e+00
8.3492679625e+00 7.5906910366e-01
-3.7366282492e+00 6.3743952001e-01
-2.2957847062e+00 8.8912562110e+00
-2.5497537450e+00 8.0536334793e+00
-6.8374806307e+00 4.1888454781e-01
4.5342724836e+00 -2.8708060180e+00
2.7090530717e+00 7.0957466400e+00
-5.3613351313e+00 2.1233912249e+00
5.6030836153e+00 -6.4809877807e+00
3.4719806314e+00 -4.1312818703e-01
-6.1857275049e+00 9.0748692508e+00
1.0869688099e+01 -2.4847950284e+00
1.0068818560e+01 -7.8715161351e+00
-4.8501411942e+00 -1.0064386864e-01
-1.1337021320e+01 5.6052733484e-01
-9.1320193968e+00 1.2123880515e+01
1.5944534071e+00 5.3675965889e+00
-1.2958095204e+00 -2.4133913623e-01
6.8558806368e+00 -1.1370895019e+01
-3.8976040817e+00 9.3574009621e+00
9.4340997898e+00 -8.6628423483e+00
-1.0816261269e+01 9.8432289911e+00
4.5495696856e+00 -1.5368412836e+00
-6.1061964966e+00 1.6481159708e+00
1.0457840721e+00 1.0377957016e+01
1.9613200845e+00 2.3986740810e+00
-1.1278735261e+01 -2.7257254460e+00
9.6156242956e+00 4.0487773149e-01
7.2862696592e+00 -1.1640910989e+01
2.2912255448e-01 -6.9391395719e-01
8.6515853052e+00 -1.1107903322e+01
2.8719861806e+00 -8.1032282981e+00
-1.1235675765e+01 8.7261929842e+00
-6.8824384624e+00 -7.8899908253e+00
-1.1731753849e+01 -1.0350431987e+00
-2.9464125074e+00 9.7706687943e+00
3.4342889544e+00 9.8254359133e-01
-3.2367834569e+00 -6.9134900431e-02
-8.9861727738e+00 -7.3839298562e+00
-3.3349446318e+00 1.0413075844e+01
-8.7871145745e+00 -7.4446942248e+00
2.9954541056e+00 -7.3250378491e-01
2.7618994664e-01 4.6399915059e+00
5.8584455923e+00 -1.2661454567e+01
-3.8165484517e+00 4.7909904329e+00
-1.1164530277e+01 -1.5900322442e+00
1.1078021482e+01 -7.0106708972e+00
-5.2421842928e-01 6.2265099670e-01
-4.4506204109e+00 6.9072047113e+00
4.8160176017e+00 -1.1943402497e+01
1.1340611626e+01 -9.2446322256e+00
1.0910042627e+01 6.3779843404e-01
-7.1641149967e+00 1.0184324109e+01
6.5874223151e+00 -8.4569145663e+00
-7.1367554301e-02 9.6886331345e+00
-2.6663152538e+00 -6.4856543411e+00
7.4089862798e+00 1.0190762607e+00
-4.9320598738e+00 -7.2655064249e-01
1.2203870528e+00 1.1674395593e+01
-4.6142419483e+00 1.3480033250e+00
-9.1125077921e+00 8.6044495179e+00
6.0783931018e+00 -9.6458228571e+00
-4.5031348796e-01 8.7536026648e+00
5.6722820961e+00 -9.2888607905e+00
9.4089301062e+00 -9.9326628652e+00
-1.8754947660e+00 -7.9926976991e+00
2.1624132507e+00 -1.0373774587e+01
-1.0213727396e+01 4.7176496255e+00
7.0013741162e+00 -8.9262825056e+00
-3.2612397763e+00 6.7758748392e-01
-3.6949902227e+00 -9.2156042625e+00
-5.1470054816e+00 2.2340423930e+00
-9.4806167511e+00 4.0130672221e+00
2.9901948553e+00 -8.8957727868e-01
4.6694963179e+00 -3.9085997091e-01
-3.6803216393e+00 7.7689626095e+00
-2.1077843950e+00 -1.3594327689e-01
-9.5109796710e+00 5.6076748668e+00
1.9413154020e-01 -1.1165001389e+01
-7.1845918476e+00 -8.1510229484e+00
1.3526053327e+00 8.0190640259e+00
7.9520642795e+00 -1.1887276458e+01
-3.7796159423e+00 9.2006035502e+00
8.5485475735e+00 -1.1684734204e+01
4.0692883116e+00 -2.0801429810e+00
4.8085611426e+00 -7.4350763214e-01
