# X[mm] xp[mrad] Y[mm] yp[mrad]
1.1586544826e+00 -5.4873214379e+01 3.0968553949e-01 8.0152528028e+01
1.1358882961e+00 2.6307914543e+01 -2.1444762081e-01 1.3953529944e+00
-8.6383487191e-01 -6.5049859139e+01 4.7060416183e-01 5.1325261248e+01
5.0624731904e-01 1.1607192979e+02 -6.6993818738e-01 -1.0539265953e+02
1.3718069399e-01 4.9708689364e+01 -4.3371650545e-01 -1.9156604734e+01
3.2814211865e-01 8.2751349274e+01 -6.4989016530e-01 -7.3587687053e+01
2.5636279231e-01 -7.6304417480e+01 5.3723909879e-01 6.2091185401e+01
-1.5199053194e+00 -5.4802583809e+01 2.6318024922e-01 -3.7509414639e+00
1.2209733815e+00 -2.9522505670e+01 2.4406901045e-01 1.0026558218e+02
-1.3791222537e+00 -4.1023803414e+00 3.2068058530e-02 -3.6715155955e+01
1.0014644124e+00 8.7288113777e+01 -3.7417636478e-01 -4.3068914568e+01
1.5168160957e+00 4.3951588821e+01 -1.3554121405e-01 2.4197646235e+01
1.0557408279e+00 4.2541605376e+00 6.5312814251e-02 5.8168588813e+01
-1.2998874048e+00 -4.6633780383e+01 1.7512056240e-01 -1.3748143930e+01
-3.4470082416e-01 4.6190955935e+00 3.8748551008e-01 -3.7024966559e+01
-2.2418509644e-01 -2.6619360692e+01 2.2286588635e-01 1.0595351028e+01
3.9263088021e-01 -5.2036657898e+01 2.8153932634e-01 8.2876192532e+01
-1.1703539068e+00 4.2663965603e+01 -2.2767990249e-01 -7.4940166707e+01
9.4630578100e-01 8.9501584904e+01 -5.2301405362e-01 -6.0743014981e+01
7.0598060021e-01 5.3189180267e+01 -4.7061232753e-01 -5.0930210583e+01
2.7471507927e-01 4.5935108244e+01 -3.8639125154e-01 -2.3216042501e+01
1.0294505881e+00 -4.8448580718e+01 2.3200074931e-01 5.9292734724e+01
-1.1360329352e+00 4.7061258089e+01 -2.6520590919e-01 -7.0391617693e+01
-6.8617644832e-01 -9.3178288408e+01 6.5567082020e-01 8.7502342619e+01
1.0526849764e+00 1.0614375867e+02 -5.5728665846e-01 -7.1705430121e+01
-1.2701746470e+00 1.2320413824e+01 -2.0819363805e-02 -3.6064232907e+01
4.9218506956e-01 -3.7126369537e+01 8.1161420918e-02 3.1449553640e+01
1.3585211994e+00 2.0351360386e+01 -1.0173831883e-02 4.9696511424e+01
-1.0566034625e+00 1.5324157016e+01 5.9103281538e-02 -1.9147057435e+01
-1.5260541619e-02 -7.8872901920e+01 5.9193173945e-01 6.2268906966e+01
4.1947273996e-01 -8.5967873115e+01 5.6447324475e-01 9.3059424629e+01
1.3170559671e+00 5.1548521099e+01 -1.7103011727e-01 1.5283619398e+01
-7.0857826233e-01 -2.9325242880e+01 3.9779272869e-01 3.7177670776e+01
1.4086110385e+00 -1.7906403344e+01 2.0142411141e-01 8.9781186912e+01
1.4859113527e+00 4.5223241170e+01 -1.0826500539e-01 3.0638024076e+01
-6.4865628553e-01 -9.7782545610e+01 6.7234820652e-01 9.1638751034e+01
-1.8834724143e-01 6.8182347533e+01 -4.8480835660e-01 -4.4580078035e+01
9.8415886907e-02 -2.3210374843e+01 1.6017526638e-01 -2.8217423068e+01
-5.2524666116e-01 -9.2857929861e+01 6.8498209171e-01 7.3823849780e+01
1.2226153292e+00 -5.1006600806e-01 -4.3707433624e-02 3.3560449644e+01
-1.1146353177e+00 -2.5808218775e+00 1.8106157320e-01 -1.0178793005e+01
1.1837170305e+00 -5.1025115046e+01 3.1794672577e-01 8.9891842469e+01
5.8374802750e-02 1.0186909956e+02 -4.6125679950e-02 -2.5377539297e+01
