# X[mm] xp[rad] Y[mm] yp[rad]
-1.4568437645e+00 1.1242911693e+00 5.8850794701e-01 -1.2240890759e+01
2.6099939469e+00 -5.9094900261e+01 -1.6016755908e+00 5.2088100834e+01
3.7355877793e+00 -6.9446608001e+01 -3.2958741742e+00 8.7076867986e+01
-1.5163719404e+00 4.4384191620e+01 -8.7896297047e-01 1.0192336178e+01
3.5087938082e-01 -3.0053569967e+01 -8.7689846965e-01 2.8965408376e+01
2.8254667571e+00 -1.6291405074e+01 -5.1917035138e+00 7.9730410018e+01
-9.7153204048e-01 3.8184914911e+01 -1.7632932104e+00 2.3057572255e+01
1.9970108473e+00 -8.4851163799e+01 -1.9125117906e+00 8.2853821078e+01
-2.7182482417e+00 4.8840183118e+01 1.2559761351e+00 -3.6548203257e+01
5.4461030110e-01 -1.2236713117e+01 1.7073336740e+00 -3.0082658575e+01
2.0072775696e+00 -7.4571114574e+01 -1.5129905676e+00 6.7197695328e+01
1.1640078281e+00 5.3840683322e+00 -1.9327203141e+00 2.6399869839e+01
-1.0466578109e+00 -1.1093243471e+01 3.7561069388e-01 -4.0935638470e+00
4.0261748332e+00 -3.9640134165e+01 -4.7430317639e+00 8.1849992191e+01
-4.6131999488e-01 2.5239481987e+00 1.2076326357e+00 -1.6949241009e+01
1.6083958382e+00 -6.2542946109e+01 -1.7389254725e+00 5.8558543203e+01
8.9645749903e-01 4.4922263086e+00 -5.7474629514e-01 6.8125631137e+00
-1.7284898655e+00 6.6124761681e+00 7.9837397228e-01 -2.0105561332e+01
2.5646324430e+00 -3.8688318713e+01 -8.5455268756e-02 7.6259417678e+00
-2.6486946276e+00 4.7024309112e+01 -3.2663846749e-01 3.4081351067e+00
1.8271837987e+00 -6.2854271800e+01 -1.6739782905e+00 6.0614170293e+01
1.3558574950e+00 -3.4197574928e+01 -6.4565295736e-01 1.6027717518e+01
-6.3918033664e-01 1.7087618734e+01 1.9537866855e-01 -9.9395004501e+00
-6.9221708780e-02 2.3130706442e+01 -1.4216927272e+00 1.8201901796e+01
-2.5549931650e+00 8.5836253798e+01 1.7404441231e+00 -9.7802341913e+01
-2.6706190327e+00 7.6999938754e+01 2.2732693313e+00 -6.1430896920e+01
1.3655301501e+00 -3.7694988864e+00 -6.4575132137e-01 8.7916798274e+00
2.2578902948e+00 -4.3129180990e+01 8.6744470249e-01 -1.0883265114e+01
3.1107311980e+00 -3.9128343708e+01 -4.3960956808e+00 7.7642489851e+01
2.8200277500e+00 -6.7938595768e+01 -2.3272665418e+00 7.4149590912e+01
-2.4193308772e+00 3.1559526559e+01 1.4233928348e+00 -6.6259209739e+01
3.0042414603e+00 -2.0940375544e+01 -4.2130780404e+00 6.6040041844e+01
-1.7211628654e+00 4.7440040471e+01 1.1888254568e+00 -2.4359011692e+01
1.0815809360e+00 -8.0068422692e+01 -7.9587601223e-01 4.2336001142e+01
-1.4946015064e+00 -1.8238123720e+01 1.1866764971e+00 -3.7938773759e+01
-2.7564176710e+00 6.6905120275e+01 2.3146603538e+00 -6.2350792294e+01
-1.3760073062e+00 1.7242281475e+01 1.7115241725e+00 -4.3140010084e+01
2.0138130940e+00 -6.1732613875e+01 -1.5447822305e+00 5.7725391514e+01
-2.3809353546e+00 4.6493632374e+01 1.4632424833e+00 -3.8501837999e+01
-2.5815943110e+00 5.4980363733e+01 1.2246546778e+00 -3.4226995995e+01
2.3531882587e+00 -7.3251417689e+01 -1.8652440342e+00 7.1703688573e+01
-2.5977358342e+00 4.7684627141e+01 1.4265113309e+00 -4.4460097352e+01
2.1644574180e+00 -1.0945613240e+01 -2.0408935146e+00 3.0688236068e+01
-5.7612567239e-01 3.1278352215e+01 -1.1181129713e+00 1.3684740826e+01
3.4857709949e-01 -3.3927666911e+01 -6.0847337766e-01 2.3311057156e+01
2.7591496005e-02 -3.3773076077e+01 -3.7422407507e-01 1.8714150840e+01
-9.2297199035e-01 3.0622000199e+01 1.0373397727e+00 -2.1630910196e+01
-5.7195539931e-01 -5.2632793140e+00 1.2672954994e+00 -2.6076144693e+01
4.1728342178e+00 -5.1788487103e+01 -4.3848370500e+00 8.8295641138e+01
4.1945912037e+00 -4.0882224091e+01 -5.0729945948e+00 8.6635210798e+01
3.5538320016e+00 -3.9825900113e+01 -2.8927680308e+00 4.6985361734e+01
3.4015337856e+00 -5.2714080368e+01 -7.8373356050e-01 1.0122361893e+01
2.4098343458e+00 -3.6249681001e+01 -1.0947464217e+00 2.9660979441e+01
-1.8375263308e+00 3.6734827729e+00 1.0391184540e+00 -3.0453097919e+01
-2.6618098084e+00 9.5794429261e+01 2.3134932868e+00 -8.8673678341e+01
4.1262509589e-01 -7.1900209501e+00 -4.0428030873e-01 7.8466898528e+00
2.1613068331e+00 -1.5377126596e+01 -4.3227328632e+00 6.7675499383e+01
-2.4336869941e+00 7.7891408192e+01 2.5346869046e+00 -7.8472617888e+01
-2.1865883281e+00 4.3801663267e+01 1.5607085385e+00 -4.0259243532e+01
-2.0006346541e+00 5.4562619826e+01 1.5685539349e+00 -8.8371903305e+01
3.6262058134e+00 -4.9611121639e+01 -3.2816946494e+00 7.0737799014e+01
1.2432986352e+00 -1.7958590510e+00 -6.4898860111e-01 7.8147632874e+00
-1.6645284729e-01 -3.0372442511e+01 -1.8763092523e-01 1.2818562958e+01
-2.3201442196e+00 7.4209951756e+01 2.4975558704e+00 -7.8041175757e+01
-2.0894645747e+00 3.5917431339e+01 6.6926385161e-01 -2.1508240177e+01
-1.5236277987e+00 -9.5359318936e+00 1.2973306857e+00 -4.2435576045e+01
-3.0342473216e+00 7.9086240056e+01 2.5234778232e+00 -7.0192274143e+01
-3.7176409623e-01 -2.2762000251e+01 1.0890041653e+00 -2.3201514450e+01
6.2856653070e-01 -6.8236803077e+01 -3.5183675968e-01 2.3913478246e+01
1.3637618602e+00 -6.6524332447e+00 -3.6395740553e-01 3.8844415452e+00
-2.0389980054e+00 4.0377002294e+01 1.3721820368e+00 -8.6360995646e+01
-2.5551892359e+00 4.6983683102e+01 1.7814140051e+00 -7.2140594072e+01
-2.8294119948e+00 6.1084370193e+01 1.9578902900e+00 -5.8554310660e+01
3.1424542330e+00 -3.9659825386e+01 -2.6630585340e+00 5.5230701688e+01
3.0954889429e+00 -2.3906339140e+01 -2.8011610618e+00 4.2698663740e+01
-9.5039299895e-01 3.4411813035e+01 1.9742857225e-01 -6.1820662229e+00
-2.3780407903e+00 3.2054537671e+01 1.4359633351e+00 -7.0319851611e+01
-2.0115271095e+00 4.0458050080e+01 1.3056562346e+00 -2.9590609585e+01
1.8250602038e+00 -8.1524733414e+01 -1.7025994918e+00 7.5095324521e+01
-2.3796157341e+00 9.7771732528e+01 2.1205970264e+00 -1.0018418633e+02
2.3903772853e+00 -1.7828264378e+01 -1.6860488916e+00 2.6497608939e+01
-2.2728641925e+00 1.8021986877e+01 1.2535925376e+00 -4.4349894617e+01
1.3450979781e+00 -7.5391687120e+01 -6.4849864990e-01 3.0687509165e+01
9.8815537707e-01 -7.8105237627e+01 -6.2676006866e-01 3.5801107235e+01
-2.0497722212e+00 1.2830888042e+01 1.1797864605e+00 -3.7510581331e+01
4.3720575330e+00 -5.4890803161e+01 -4.9448149007e+00 9.8613768787e+01
2.0832851917e+00 -1.6140034426e+01 -2.1857308224e+00 2.9663350853e+01
-2.9805379572e+00 6.2476630936e+01 3.3539955364e-01 -8.3427066987e+00
1.2400763048e+00 -3.5291052704e+01 -6.7721593963e-01 2.9264501860e+01
-1.6242749264e+00 1.2921959559e+01 4.6545026314e-01 -1.0912726078e+01
-2.4677407442e+00 1.0284635245e+02 2.1942160781e+00 -9.1552253576e+01
-4.5706850469e-01 -1.5290726185e+01 1.2385434045e+00 -2.6382470832e+01
1.5027491241e+00 -2.6735401741e+01 -8.4111038892e-01 1.8490624122e+01
-4.7879559038e-01 1.8847224167e+01 -8.6322338576e-01 1.2743786412e+01
-1.3358594556e+00 -1.2545477289e+01 8.8257009341e-01 -2.1858644151e+01
2.9455373696e+00 -5.7627450958e+01 5.8238090673e-01 -5.3384700416e+00
-1.0488799625e+00 1.7592817197e+01 -4.7145272368e-01 -1.0459845028e+00
-1.3561285244e+00 4.1250788262e+01 8.3815135488e-01 -1.7571221553e+01
