# S[m] sigma_x[mm] sigma_y[mm] N mean_P[MeV/c] beta_x[mm/mrad] beta_y[mm/mrad] beta_z[mm/mrad] alpha_x[mrad] alpha_y[mrad] alpha_z[mrad] mean_E[MeV] sigma_px[mrad] sigma_py[mrad] 
5.2626506024e-02 5.4370090519e+00 6.5742541097e+00 1.4857000000e+04 6.3888677055e+01 1.1043689544e+00 1.6174964697e+00 3.5410821257e+03 1.2757649215e+00 1.0338033926e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.3879518072e-02 5.4291437205e+00 6.5689911157e+00 1.4857000000e+04 6.3888677055e+01 1.1011757208e+00 1.6149077822e+00 3.6253936049e+03 1.2727838129e+00 1.0322006834e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.5132530120e-02 5.4212854186e+00 6.5637320772e+00 1.4857000000e+04 6.3888677055e+01 1.0979899578e+00 1.6123231107e+00 3.7097050840e+03 1.2698027043e+00 1.0305979742e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.6385542169e-02 5.4134341766e+00 6.5584770035e+00 1.4857000000e+04 6.3888677055e+01 1.0948116656e+00 1.6097424553e+00 3.7940165632e+03 1.2668215956e+00 1.0289952650e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.7638554217e-02 5.4055900255e+00 6.5532259042e+00 1.4857000000e+04 6.3888677055e+01 1.0916408440e+00 1.6071658159e+00 3.8783280424e+03 1.2638404870e+00 1.0273925559e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
5.8891566265e-02 5.3977529960e+00 6.5479787889e+00 1.4857000000e+04 6.3888677055e+01 1.0884774930e+00 1.6045931926e+00 3.9626395216e+03 1.2608593784e+00 1.0257898467e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
6.0144578313e-02 5.3899231194e+00 6.5427356672e+00 1.4857000000e+04 6.3888677055e+01 1.0853216128e+00 1.6020245853e+00 4.0469510008e+03 1.2578782698e+00 1.0241871375e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
6.1397590361e-02 5.3821004267e+00 6.5374965486e+00 1.4857000000e+04 6.3888677055e+01 1.0821732032e+00 1.5994599941e+00 4.1312624800e+03 1.2548971611e+00 1.0225844283e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
6.2650602410e-02 5.3742849493e+00 6.5322614429e+00 1.4857000000e+04 6.3888677055e+01 1.0790322643e+00 1.5968994188e+00 4.2155739591e+03 1.2519160525e+00 1.0209817191e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
6.3903614458e-02 5.3664767188e+00 6.5270303596e+00 1.4857000000e+04 6.3888677055e+01 1.0758987961e+00 1.5943428597e+00 4.2998854383e+03 1.2489349439e+00 1.0193790099e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
6.5156626506e-02 5.3586757669e+00 6.5218033084e+00 1.4857000000e+04 6.3888677055e+01 1.0727727986e+00 1.5917903165e+00 4.3841969175e+03 1.2459538353e+00 1.0177763007e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
6.6409638554e-02 5.3508821253e+00 6.5165802991e+00 1.4857000000e+04 6.3888677055e+01 1.0696542717e+00 1.5892417894e+00 4.4685083967e+03 1.2429727266e+00 1.0161735916e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
6.7662650602e-02 5.3430958262e+00 6.5113613414e+00 1.4857000000e+04 6.3888677055e+01 1.0665432155e+00 1.5866972784e+00 4.5528198759e+03 1.2399916180e+00 1.0145708824e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
6.8915662651e-02 5.3353169015e+00 6.5061464449e+00 1.4857000000e+04 6.3888677055e+01 1.0634396300e+00 1.5841567834e+00 4.6371313551e+03 1.2370105094e+00 1.0129681732e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
7.0168674699e-02 5.3275453837e+00 6.5009356196e+00 1.4857000000e+04 6.3888677055e+01 1.0603435152e+00 1.5816203044e+00 4.7214428342e+03 1.2340294007e+00 1.0113654640e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
7.1421686747e-02 5.3197813052e+00 6.4957288751e+00 1.4857000000e+04 6.3888677055e+01 1.0572548710e+00 1.5790878414e+00 4.8057543134e+03 1.2310482921e+00 1.0097627548e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
7.2674698795e-02 5.3120246986e+00 6.4905262214e+00 1.4857000000e+04 6.3888677055e+01 1.0541736976e+00 1.5765593945e+00 4.8900657926e+03 1.2280671835e+00 1.0081600456e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
7.3927710843e-02 5.3042755966e+00 6.4853276682e+00 1.4857000000e+04 6.3888677055e+01 1.0510999948e+00 1.5740349637e+00 4.9743772718e+03 1.2250860749e+00 1.0065573364e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
7.5180722892e-02 5.2965340323e+00 6.4801332254e+00 1.4857000000e+04 6.3888677055e+01 1.0480337626e+00 1.5715145489e+00 5.0586887510e+03 1.2221049662e+00 1.0049546273e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
7.6433734940e-02 5.2888000387e+00 6.4749429029e+00 1.4857000000e+04 6.3888677055e+01 1.0449750012e+00 1.5689981501e+00 5.1430002302e+03 1.2191238576e+00 1.0033519181e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
7.7686746988e-02 5.2810736491e+00 6.4697567107e+00 1.4857000000e+04 6.3888677055e+01 1.0419237104e+00 1.5664857674e+00 5.2273117093e+03 1.2161427490e+00 1.0017492089e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
7.8939759036e-02 5.2733548969e+00 6.4645746587e+00 1.4857000000e+04 6.3888677055e+01 1.0388798903e+00 1.5639774007e+00 5.3116231885e+03 1.2131616404e+00 1.0001464997e+00 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
