# S[m] sigma_x[mm] sigma_y[mm] N mean_P[MeV/c] beta_x[mm/mrad] beta_y[mm/mrad] beta_z[mm/mrad] alpha_x[mrad] alpha_y[mrad] alpha_z[mrad] mean_E[MeV] sigma_px[mrad] sigma_py[mrad] mean_pz[MeV/c] emitt_ emitt_y 
1.3888026061e-02 5.6834631976e+00 6.7388514898e+00 0.0000000000e+00 6.3885551769e+01 1.2087109847e+00 1.6994332999e+00 1.7223211960e-07 8.7672603756e-02 6.9319976680e-02 -5.1531412186e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.4196648862e-02 5.6814748798e+00 6.7375255057e+00 0.0000000000e+00 6.3885551769e+01 1.2078672218e+00 1.6987635821e+00 1.7605386903e-07 8.7625532936e-02 6.9294711292e-02 -5.1533020957e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.4505271664e-02 5.6794869343e+00 6.7361997441e+00 0.0000000000e+00 6.3885551769e+01 1.2070239113e+00 1.6980941085e+00 1.7987365590e-07 8.7578462117e-02 6.9269445903e-02 -5.1535147998e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.4813894465e-02 5.6774993614e+00 6.7348742051e+00 0.0000000000e+00 6.3885551769e+01 1.2061810532e+00 1.6974248790e+00 1.8370773537e-07 8.7531391297e-02 6.9244180515e-02 -5.1533304425e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.5122517267e-02 5.6755121616e+00 6.7335488888e+00 0.0000000000e+00 6.3885551769e+01 1.2053386475e+00 1.6967558938e+00 1.8753214024e-07 8.7484320478e-02 6.9218915127e-02 -5.1533957759e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.5431140068e-02 5.6735253353e+00 6.7322237955e+00 0.0000000000e+00 6.3885551769e+01 1.2044966941e+00 1.6960871527e+00 1.9134705038e-07 8.7437249658e-02 6.9193649739e-02 -5.1537248948e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.5739762869e-02 5.6715388828e+00 6.7308989252e+00 0.0000000000e+00 6.3885551769e+01 1.2036551930e+00 1.6954186558e+00 1.9518436913e-07 8.7390178839e-02 6.9168384350e-02 -5.1534645455e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.6048385671e-02 5.6695528045e+00 6.7295742781e+00 0.0000000000e+00 6.3885551769e+01 1.2028141443e+00 1.6947504030e+00 1.9901632847e-07 8.7343108019e-02 6.9143118962e-02 -5.1533288078e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.6357008472e-02 5.6675671009e+00 6.7282498542e+00 0.0000000000e+00 6.3885551769e+01 1.2019735480e+00 1.6940823944e+00 2.0284597697e-07 8.7296037200e-02 6.9117853574e-02 -5.1532657180e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.6665631273e-02 5.6655817723e+00 6.7269256538e+00 0.0000000000e+00 6.3885551769e+01 1.2011334040e+00 1.6934146300e+00 2.0666431658e-07 8.7248966380e-02 6.9092588186e-02 -5.1534880222e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.6974254075e-02 5.6635968191e+00 6.7256016769e+00 0.0000000000e+00 6.3885551769e+01 1.2002937124e+00 1.6927471098e+00 2.1049388617e-07 8.7201895561e-02 6.9067322798e-02 -5.1534368342e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.7282876876e-02 5.6616122417e+00 6.7242779238e+00 0.0000000000e+00 6.3885551769e+01 1.1994544732e+00 1.6920798337e+00 2.1431879513e-07 8.7154824741e-02 6.9042057409e-02 -5.1534878635e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.7591499677e-02 5.6596280405e+00 6.7229543944e+00 0.0000000000e+00 6.3885551769e+01 1.1986156863e+00 1.6914128018e+00 2.1814396597e-07 8.7107753921e-02 6.9016792021e-02 -5.1535364969e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.7900122479e-02 5.6576442159e+00 6.7216310891e+00 0.0000000000e+00 6.3885551769e+01 1.1977773518e+00 1.6907460141e+00 2.2198047233e-07 8.7060683102e-02 6.8991526633e-02 -5.1533179729e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.8208745280e-02 5.6556607684e+00 6.7203080078e+00 0.0000000000e+00 6.3885551769e+01 1.1969394696e+00 1.6900794706e+00 2.2580410239e-07 8.7013612282e-02 6.8966261245e-02 -5.1534004201e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.8517368081e-02 5.6536776982e+00 6.7189851507e+00 0.0000000000e+00 6.3885551769e+01 1.1961020398e+00 1.6894131712e+00 2.2963120637e-07 8.6966541463e-02 6.8940995857e-02 -5.1534060299e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.8825990883e-02 5.6516950058e+00 6.7176625180e+00 0.0000000000e+00 6.3885551769e+01 1.1952650623e+00 1.6887471160e+00 2.3346133918e-07 8.6919470643e-02 6.8915730468e-02 -5.1533421643e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.9134613684e-02 5.6497126916e+00 6.7163401097e+00 0.0000000000e+00 6.3885551769e+01 1.1944285372e+00 1.6880813050e+00 2.3728733813e-07 8.6872399824e-02 6.8890465080e-02 -5.1533678262e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.9443236486e-02 5.6477307560e+00 6.7150179261e+00 0.0000000000e+00 6.3885551769e+01 1.1935924645e+00 1.6874157381e+00 2.4110586666e-07 8.6825329004e-02 6.8865199692e-02 -5.1535580586e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
1.9751859287e-02 5.6457491994e+00 6.7136959672e+00 0.0000000000e+00 6.3885551769e+01 1.1927568441e+00 1.6867504155e+00 2.4493239216e-07 8.6778258185e-02 6.8839934304e-02 -5.1535556120e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
2.0060482088e-02 5.6437680222e+00 6.7123742333e+00 0.0000000000e+00 6.3885551769e+01 1.1919216760e+00 1.6860853369e+00 2.4876035659e-07 8.6731187365e-02 6.8814668916e-02 -5.1535375696e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
2.0369104890e-02 5.6417872247e+00 6.7110527243e+00 0.0000000000e+00 6.3885551769e+01 1.1910869604e+00 1.6854205026e+00 2.5259965815e-07 8.6684116545e-02 6.8789403527e-02 -5.1532949168e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
2.0677727691e-02 5.6398068075e+00 6.7097314405e+00 0.0000000000e+00 6.3885551769e+01 1.1902526971e+00 1.6847559124e+00 2.5641322220e-07 8.6637045726e-02 6.8764138139e-02 -5.1535679901e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
2.0986350492e-02 5.6378267708e+00 6.7084103819e+00 0.0000000000e+00 6.3885551769e+01 1.1894188861e+00 1.6840915664e+00 2.6024610847e-07 8.6589974906e-02 6.8738872751e-02 -5.1534474140e+03 1.8262936149e-01 3.7348321330e-01 5.0976574720e-01 6.3885549726e+01 1.5301625298e-01 1.5276883454e-01
