 x [cm]	x' [rad]	y [cm]	y' [rad]	Phase [rad]	Kinetic Energy [MeV]	Charge State	Rest Mass [GeV/c2]
   -0.290506738372751E-01	    0.740356643180398E-01	    0.165740875508523E-02	   -0.827850717472705E-02	   -0.134787648755856E+02	    0.182593614693971E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.813780534738286E-01	   -0.505506649399663E-01	    0.929543517556939E-02	    0.423083910986881E-01	    0.447558638531039E+02	    0.182184198767033E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.167211354461459E-01	    0.378640457442163E-01	   -0.350020470348782E-01	    0.962329326348367E-02	    0.204569945240206E+02	    0.182706645432518E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.110395758679160E-01	    0.811694159279763E-01	   -0.465271014294727E-01	   -0.596886910340742E-01	    0.910704478521711E+01	    0.182664709843294E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.279423829716198E-01	    0.323574388869958E-01	   -0.467236692946504E-01	   -0.191556912772822E-01	    0.417334470439906E+02	    0.182053337042021E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.770872088341190E-01	   -0.324231241133585E-01	    0.374854209412437E-01	    0.123027396999164E-01	   -0.497030324508382E+02	    0.183436911209256E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.492504713215687E-01	   -0.637594951056790E-01	    0.293310133093211E-01	    0.456939775590251E-01	    0.150855610091161E+02	    0.182675428540335E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.686048395108204E-01	   -0.846443224701531E-02	    0.248766250719959E-01	   -0.203003801574275E-01	   -0.423760983177907E+02	    0.183247784804053E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.333063266723392E-01	    0.360115723575048E-01	   -0.516367514540311E-01	   -0.741184688920143E-02	    0.513350409129290E+02	    0.181807279776791E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.109431591770673E+00	    0.721722227393989E-02	    0.267823870219934E-01	   -0.254988116757704E-01	   -0.588351929443485E+02	    0.183429269434043E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.212873647867094E-01	   -0.695466144942480E-01	    0.493898191474429E-01	    0.492813453423076E-01	   -0.159728117994487E+02	    0.182648741539282E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.685376925014067E-01	    0.364368288077048E-01	    0.523718730549857E-02	   -0.987694709385724E-02	   -0.247824006265249E+02	    0.182709348978349E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.723522035709471E-01	    0.254046439940575E-01	   -0.346874041062830E-01	   -0.340161885070990E-02	    0.509058199591128E+02	    0.181857182235845E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.582815136106047E-01	    0.513084327044740E-01	   -0.167043415500167E-02	   -0.792296314004070E-02	   -0.167748346166621E+02	    0.182602058476533E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.385562383183406E-01	   -0.674540616229993E-01	    0.409925506091001E-02	    0.708844566142068E-02	    0.171465178947737E+02	    0.182698465337694E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.208336295949662E-01	   -0.487369013243582E-01	    0.366827356850743E-01	    0.110509038799074E-01	   -0.946313992047334E+01	    0.182518785173613E+00	    0.600000000000000E+01	    0.111748622150701E+02
