 x [cm]	x' [rad]	y [cm]	y' [rad]	Phase [rad]	Kinetic Energy [MeV]	Charge State	Rest Mass [GeV/c2]
    0.631369449763644E+00	    0.112675601711148E-01	   -0.867680656685630E+00	   -0.155021570956071E-02	   -0.422399451339328E+02	    0.182626396290075E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.782095560983671E+00	   -0.133277879933244E-01	    0.101991756604133E+01	    0.391221074985604E-02	    0.506902815183129E+02	    0.182629510630861E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.125160641788589E+00	    0.842758138679210E-02	   -0.105688951444733E+01	   -0.995609368530770E-02	   -0.459709266460838E+02	    0.182629570238291E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.360134965327652E+00	   -0.231174951404091E-02	    0.683294791719740E+00	    0.925295130016546E-02	    0.296999198326619E+02	    0.182631760708318E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.849163250631737E+00	    0.376381502501908E-02	    0.378413116550868E+00	    0.871862359943132E-02	    0.125886852000880E+02	    0.182625546925053E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.449905962583525E+00	   -0.680521306566652E-02	    0.621624835991165E+00	   -0.510933290773227E-03	    0.236314316913383E+02	    0.182632550469464E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.338443827436222E+00	    0.387143773041907E-02	   -0.101527769529181E+01	   -0.134516052841928E-01	   -0.370498398470459E+02	    0.182622730603654E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.359776223071767E+00	   -0.863194688208159E-02	    0.647131130440025E+00	    0.150764494335543E-02	    0.391390084327959E+02	    0.182627022136117E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.671236146218926E+00	    0.558123002775255E-02	   -0.344511205432141E+00	    0.416222522633414E-02	   -0.588055507347473E+01	    0.182628229131510E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.266783476730724E+00	    0.505737713689540E-03	   -0.487738296956891E+00	   -0.809669698921700E-02	   -0.139453287437308E+02	    0.182636514177048E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.106466902121241E+01	   -0.167411625290638E-01	    0.112164896781636E+01	    0.561793689282875E-02	    0.606716506841678E+02	    0.182627275457037E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.108523518369262E+01	    0.109837908392424E-01	   -0.437775648766333E+00	    0.409308151008825E-02	   -0.221555747907002E+02	    0.182634413116389E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.113603994772498E+01	    0.165402941500420E-01	   -0.940824135494554E+00	   -0.219289278013368E-02	   -0.533162833288133E+02	    0.182625666132807E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.710479534317655E+00	   -0.366395608506855E-02	    0.579392311078070E-01	   -0.630533852947612E-02	   -0.634501608463536E+01	    0.182626798620689E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.370773870025677E+00	    0.381239234484974E-02	   -0.107136236672210E+01	   -0.150105619743254E-01	   -0.379012357336776E+02	    0.182624935977316E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.648854408220304E+00	   -0.838612335718926E-02	    0.710029081264142E+00	    0.373307464339615E-03	    0.255662769228937E+02	    0.182629108300247E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.824327544375232E-01	    0.623002006687466E-02	   -0.631699488041127E+00	   -0.323732541275878E-02	   -0.343272280358344E+02	    0.182628020516162E+00	    0.600000000000000E+01	    0.111748622150701E+02
    0.621008866589601E+00	    0.108860385153684E-02	    0.469968714370256E+00	    0.815297831448059E-02	    0.197700724402971E+02	    0.182624205820048E+00	    0.600000000000000E+01	    0.111748622150701E+02
   -0.124892733984543E+00	    0.343457573108617E-02	   -0.690986953870529E+00	   -0.956258754579087E-02	   -0.258801622058838E+02	    0.182626232376748E+00	    0.600000000000000E+01	    0.111748622150701E+02
